# https://www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt
# https://translated.turbopages.org/proxy_u/en-ru.ru.99294af1-6746a008-8ed92243-74722d776562/https/www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt

# emoji-data.txt
# Дата: 2024-05-01, 21:25:24 GMT
# © 2024 Unicode®, Inc.
# Unicode и логотип Unicode являются зарегистрированными товарными знаками Unicode, Inc. в США и других странах.
# Условия использования и лицензии см. в разделе https://www.unicode.org/terms_of_use.html
#
# Данные эмодзи для UTS #51
# Используется с Emoji версии 16.0 и последующими незначительными изменениями (если таковые имеются)
#
# Документацию и способы использования см. в разделе https://www.unicode.org/reports/tr51
#
# Формат: 
# <кодовые точки> ; <свойство> # <комментарии> 
# Примечание: нет гарантии относительно структуры пробелов или комментариев
#
# Символы и последовательности перечислены в порядке кодовых обозначений. Пользователям следует показывать более естественный порядок.
# Смотрите порядок сортировки смайликов в CLDR.


# ================================================

# Все пропущенные кодовые точки имеют эмодзи = Нет

# 0023; Эмодзи # E0.0 [1] (#️) хэш-знак
# 002A ; Эмодзи # E0.0 [1] (*️) звездочка
# 0030..0039 ; Эмодзи # E0.0 [10] (0️..9️) цифра ноль .. цифра девять
1F6CB ; Эмодзи # E0.7 [1] (🛋️) диван и лампа
1F6CC ; Эмодзи # E1.0 [1] (🛌) человек в постели
1F6CD..1F6CF ; Эмодзи # E0.7 [3] (🛍️..🛏️) сумки для покупок.. кровать
1F6D0 ; Эмодзи # E1.0 [1] (🛐) место поклонения
1F6D1..1F6D2 ; Эмодзи # E3.0 [2] (🛑..🛒) знак остановки .. корзина
1F6D5 ; Эмодзи # E12.0 [1] (🛕) индуистский храм
1F6D6..1F6D7 ; Эмодзи # E13.0 [2] (🛖..🛗) хижина..лифт
1F6DC ; Эмодзи # E15.0 [1] (🛜) беспроводной
1F6DD..1F6DF ; Эмодзи # E14.0 [3] (🛝..🛟) горка для детской площадки .. кольцевой буй
1F6E0..1F6E5 ; Эмодзи # E0.7 [6] (🛠️..🛥️) молоток и гаечный ключ .. моторная лодка
1F6E9 ; Эмодзи # E0.7 [1] (🛩️) маленький самолет
1F6EB..1F6EC ; Эмодзи # E1.0 [2] (🛫..🛬) вылет самолета ..прибытие самолета
1F6F0 ; Эмодзи # E0.7 [1] (🛰️) спутник
1F6F3 ; Эмодзи # E0.7 [1] (🛳️) пассажирское судно
1F6F4..1F6F6 ; Эмодзи # E3.0 [3] (🛴..🛶) самокат .. каноэ
1F6F7..1F6F8 ; Эмодзи # E5.0 [2] (🛷..🛸) сани..летающая тарелка
1F6F9 ; Эмодзи # E11.0 [1] (🛹) скейтборд
1F6FA ; Эмодзи # E12.0 [1] (🛺) авторикша
1F6FB..1F6FC ; Эмодзи # E13.0 [2] (🛻..🛼) пикап.. роликовые коньки
1F7E0..1F7EB ; Эмодзи # E12.0 [12] (🟠..🟫) оранжевый круг .. коричневый квадрат
1F7F0 ; Эмодзи # E14.0 [1] (🟰) тяжелый знак равенства
1F90C ; Эмодзи # E13.0 [1] (🤌) сжатые пальцы
1F90D..1F90F ; Эмодзи # E12.0 [3] (🤍..🤏) белое сердце .. сжимающая рука 
1F910..1F918 ; Эмодзи # E1.0 [9] (🤐..🤘) лицо с молнией во рту .. знак рогов
1F919..1F91E ; Эмодзи # E3.0 [6] (🤙..🤞) зови меня рука..скрещенные пальцы
1F91F ; Эмодзи # E5.0 [1] (🤟) жест любви к тебе
1F920..1F927 ; Эмодзи # E3.0 [8] (🤠..🤧) лицо в ковбойской шляпе .. чихающее лицо 
1F928..1F92F ; Эмодзи # E5.0 [8] (🤨..🤯) лицо с приподнятой бровью .. взрывающаяся голова
1F930 ; Эмодзи # E3.0 [1] (🤰) беременная женщина
1F931..1F932 ; Эмодзи # E5.0 [2] (🤱..🤲) кормление грудью .. ладони вместе
1F933..1F93A; Эмодзи # E3.0 [8] (🤳..🤺) селфи .. фехтование человека
1F93C ..1F93E ; Эмодзи # E3.0 [3] (🤼..🤾) люди борются .. человек играет в гандбол
1F93F ; Эмодзи # E12.0 [1] (🤿) маска для дайвинга
1F940..1F945 ; Эмодзи # E3.0 [6] (🥀..🥅) увядший цветок .. сетка ворот 
1F947..1F94B ; Эмодзи # E3.0 [5] (🥇..🥋) медаль за 1-е место .. форма для боевых искусств
1F94C ; Эмодзи # E5.0 [1] (🥌) камень для завивки
1F94D..1F94F; Эмодзи # E11.0 [3] (🥍..🥏) лакросс..летающий диск
1F950..1F95E ; Эмодзи # E3.0 [15] (🥐..🥞) круассан..блинчики
1F95F..1F96B ; Эмодзи # E5.0 [13] (🥟..🥫) клецки .. консервы
1F96C ..1F970 ; Эмодзи # E11.0 [5] (🥬..🥰) зеленые листья .. улыбающееся лицо с сердечками
1F971 ; Эмодзи # E12.0 [1] (🥱) зевающее лицо 
1F972 ; Эмодзи # E13.0 [1] (🥲) улыбающееся заплаканное лицо
1F973..1F976 ; Эмодзи # E11.0 [4] (🥳..🥶) веселящееся лицо .. холодное лицо 
1F977..1F978 ; Эмодзи # E13.0 [2] (🥷..🥸) ниндзя .. замаскированное лицо 
1F979 ; Эмодзи # E14.0 [1] (🥹) лицо, сдерживающее слезы
1F97A ; Эмодзи # E11.0 [1] (🥺) умоляющее лицо 
1F97B ; Эмодзи # E12.0 [1] (🥻) сари
1F97C..1F97F ; Эмодзи # E11.0 [4] (🥼..🥿) лабораторный халат .. обувь на плоской подошве 
1F980..1F984 ; Эмодзи # E1.0 [5] (🦀..🦄) краб ..единорог
1F985..1F991 ; Эмодзи # E3.0 [13] (🦅..🦑) орел..кальмар
1F992..1F997 ; Эмодзи # E5.0 [6] (🦒..🦗) жираф..крикет
1F998..1F9A2 ; Эмодзи # E11.0 [11] (🦘..🦢) кенгуру..лебедь
1F9A3..1F9A4 ; Эмодзи # E13.0 [2] (🦣..🦤) мамонт ..дронт
1F9A5..1F9AA ; Эмодзи # E12.0 [6] (🦥..🦪) ленивец..устрица
1F9AB..1F9AD ; Эмодзи # E13.0 [3] (🦫..🦭) бобр..тюлень
1F9AE..1F9AF ; Эмодзи # E12.0 [2] (🦮..🦯) собака-поводырь .. белая трость
1F9B0..1F9B9 ; Эмодзи # E11.0 [10] (🦰..🦹) рыжие волосы .. суперзлодей
1F9BA..1F9BF ; Эмодзи # E12.0 [6] (🦺..🦿) защитный жилет .. механическая нога
1F9C0 ; Эмодзи # E1.0 [1] (🧀) долька сыра
1F9C1..1F9C2 ; Эмодзи # E11.0 [2] (🧁..🧂) кекс ..соль
1F9C3..1F9CA; Эмодзи # E12.0 [8] (🧃..🧊) коробка для напитков .. лед
1F9CB ; Эмодзи # E13.0 [1] (🧋) чай с пузырьками
1F9CC; Эмодзи # E14.0 [1] (🧌) тролль
1F9CD..1F9CF ; Эмодзи # E12.0 [3] (🧍..🧏) человек стоит ..глухой
1F9D0..1F9E6 ; Эмодзи # E5.0 [23] (🧐..🧦) лицо с моноклем.. носки
1F9E7..1F9FF ; Эмодзи # E11.0 [25] (🧧..🧿) красный конверт ..амулет Назара
1FA70..1FA73 ; Эмодзи # E12.0 [4] (🩰..🩳) балетки.. шорты
1FA74 ; Эмодзи # E13.0 [1] (🩴) сандалии-стринги
1FA75..1FA77 ; Эмодзи # E15.0 [3] (🩵..🩷) светло-голубое сердечко ..розовое сердечко
1FA78..1FA7A ; Эмодзи # E12.0 [3] (🩸..🩺) капля крови ..стетоскоп
1FA7B..1FA7C ; Эмодзи # E14.0 [2] (🩻..🩼) рентген..костыль
1FA80..1FA82 ; Эмодзи # E12.0 [3] (🪀..🪂) йо-йо ..парашют
1FA83..1FA86 ; Эмодзи # E13.0 [4] (🪃..🪆) бумеранг..матрешки
1FA87..1FA88 ; Эмодзи # E15.0 [2] (🪇..🪈) маракасы..флейта
1FA89 ; Эмодзи # E16.0 [1] (🪉) арфа
1FA8F ; Эмодзи # E16.0 [1] (🪏) лопата
1FA90..1FA95 ; Эмодзи # E12.0 [6] (🪐..🪕) планета в кольцах..банджо
1FA96..1FAA8 ; Эмодзи # E13.0 [19] (🪖..🪨) военный шлем .. камень
1FAA9..1FAAC ; Эмодзи # E14.0 [4] (🪩..🪬) зеркальный шар ..хамса
1FAAD ..1FAAF ; Эмодзи # E15.0 [3] (🪭..🪯) складной ручной веер .. khanda
1FAB0..1FAB6 ; Эмодзи # E13.0 [7] (🪰..🪶) муха..перо
1FAB7..1FABA ; Эмодзи # E14.0 [4] (🪷..🪺) лотос .. гнездо с яйцами
1FABB..1FABD ; Эмодзи # E15.0 [3] (🪻..🪽) гиацинт..крыло
1FABE ; Эмодзи # E16.0 [1] (🪾) дерево без листьев
1FABF ; Эмодзи # E15.0 [1] (🪿) гусь
1FAC0..1FAC2 ; Эмодзи # E13.0 [3] (🫀..🫂) анатомическое сердце .. люди обнимаются
1FAC3..1FAC5 ; Эмодзи # E14.0 [3] (🫃..🫅) беременный мужчина .. человек с короной
1FAC6 ; Эмодзи # E16.0 [1] (🫆) отпечаток пальца
1FACE..1FACF ; Эмодзи # E15.0 [2] (🫎..🫏) лось .. осел
1FAD0..1FAD6 ; Эмодзи # E13.0 [7] (🫐..🫖) черника .. чайник
1FAD7..1FAD9 ; Эмодзи # E14.0 [3] (🫗..🫙) заливка liquid..jar
1FADA..1FADB ; Эмодзи # E15.0 [2] (🫚..🫛) корень имбиря .. стручок гороха
1FADC ; Эмодзи # E16.0 [1] (🫜) корнеплод
1FADF ; Эмодзи # E16.0 [1] (🫟) брызги
1FAE0..1FAE7 ; Эмодзи # E14.0 [8] (🫠..🫧) тающее лицо .. пузыри
1FAE8 ; Эмодзи # E15.0 [1] (🫨) дрожащее лицо
1FAE9 ; Эмодзи # E16.0 [1] (🫩) лицо с мешками под глазами
1FAF0..1FAF6 ; Эмодзи # E14.0 [7] (🫰..🫶) рука со скрещенными указательным и большим пальцами .. руки в виде сердца
1FAF7..1FAF8 ; Эмодзи # E15.0 [2] (🫷..🫸) рука, толкающая влево .. рука, толкающая вправо

# Всего элементов: 1431

# ================================================

# Все пропущенные кодовые точки имеют Emoji_Presentation = Нет

231A ..231B ; Emoji_Presentation # E0.6 [2] (⌚..⌛) часы .. песочные часы готовы
23E9..23EC ; Emoji_Presentation # E0.6 [4] (⏩..⏬) кнопка быстрой перемотки вперед .. кнопка быстрого спуска
23F0 ; Emoji_Presentation # E0.6 [1] (⏰) будильник
23F3 ; Emoji_Presentation # E0.6 [1] (⏳) песочные часы не готовы
25FD ..25FE ; Emoji_Presentation # E0.6 [2] (◽..◾) белый средний-маленький квадрат .. черный средний-маленький квадрат
2614..2615 ; Emoji_Presentation # E0.6 [2] (☔..☕) зонтик с каплями дождя ..горячий напиток
2648..2653 ; Emoji_Presentation # E0.6 [12] (♈..♓) Овен..Рыбы
267F ; Emoji_Presentation # E0.6 [1] (♿) символ инвалидной коляски
2693 ; Emoji_Presentation # E0.6 [1] (⚓) якорь
26A1 ; Emoji_Presentation # E0.6 [1] (⚡) высокое напряжение
26AA..26AB ; Emoji_Presentation # E0.6 [2] (⚪..⚫) белый круг .. черный круг
26BD..26BE ; Emoji_Presentation # E0.6 [2] (⚽..⚾) футбольный мяч ..бейсбол
26C4..26C5 ; Emoji_Presentation # E0.6 [2] (⛄..⛅) снеговик без снега .. солнце за облаками
26CE ; Emoji_Presentation # E0.6 [1] (⛎) Змееносец
26D4 ; Emoji_Presentation # E0.6 [1] (⛔) записи нет
26EA ; Emoji_Presentation # E0.6 [1] (⛪) церковь
26F2..26F3 ; Emoji_Presentation # E0.6 [2] (⛲..⛳) фонтан .. флаг в отверстии
26F5 ; Emoji_Presentation # E0.6 [1] (⛺) парусная лодка
26FA ; Emoji_Presentation # E0.6 [1] (⛺) палатка
26FD ; Emoji_Presentation # E0.6 [1] (⛽) топливный насос
2705 ; Emoji_Presentation # E0.6 [1] (✅) кнопка флажка
270A..270B ; Emoji_Presentation # E0.6 [2] (✊..✋) поднятый кулак ..поднятая рука
2728 ; Emoji_Presentation # E0.6 [1] (✨) блестки
274C ; Emoji_Presentation # E0.6 [1] (❌) крестик
274E ; Emoji_Presentation # E0.6 [1] (❎) кнопка с крестиком
2753..2755 ; Emoji_Presentation # E0.6 [3] (❓..❕) красный вопросительный знак .. белый восклицательный знак 
2757 ; Emoji_Presentation # E0.6 [1] (❗) красный восклицательный знак
2795..2797 ; Emoji_Presentation # E0.6 [3] (➕..➗) плюс..разделить
27B0 ; Emoji_Presentation # E0.6 [1] (➰) фигурная петля
27BF ; Emoji_Presentation # E1.0 [1] (➿) двойная фигурная петля
2B1B ..2B1C ; Emoji_Presentation # E0.6 [2] (⬛..⬜) черный большой квадрат .. белый большой квадрат
2B50 ; Emoji_Presentation # E0.6 [1] (⭐) звезда
2B55 ; Emoji_Presentation # E0.6 [1] (⭕) полый красный круг
1F004 ; Эмодзи # E0.6 [1] (🀄) маджонг красный дракон
1F0CF; Эмодзи # E0.6 [1] (🃏) джокер
1F18E ; Emoji_Presentation # E0.6 [1] (🆎) Кнопка AB (группа крови)
1F191..1F19A ; Emoji_Presentation # E0.6 [10] (🆑..🆚) Кнопка CL .. кнопка VS
1F1E6..1F1FF ; Emoji_Presentation # E0.0 [26] (🇦..🇿) буква символа регионального индикатора a ..буква символа регионального индикатора z
1F201 ; Emoji_Presentation # E0.6 [1] (🈁) Японская кнопка “сюда”
1F21A ; Emoji_Presentation # E0.6 [1] (🈚) Кнопка “бесплатно” на японском языке
1F22F ; Emoji_Presentation # E0.6 [1] (🈯) Японская кнопка “зарезервировано”
1F232..1F236 ; Emoji_Presentation # E0.6 [5] (🈲..🈶) Японская кнопка “запрещено”..Японская кнопка “не бесплатно”
1F238..1F23A ; Emoji_Presentation # E0.6 [3] (🈸..🈺) Японская кнопка “приложение”..Японская кнопка “открыть для бизнеса”
1F250..1F251 ; Emoji_Presentation # E0.6 [2] (🉐..🉑) Японская кнопка “выгодная сделка”..Японская кнопка “приемлемо”
1F300..1F30C ; Emoji_Presentation # E0.6 [13] (🌀..🌌) циклон ..млечный путь
1F30D..1F30E ; Emoji_Presentation # E0.7 [2] (🌍..🌎) глобус, показывающий Европу и Африку .. глобус, показывающий Америку
1F30F ; Emoji_Presentation # E0.6 [1] (🌏) глобус, показывающий Азию-Австралию 
1F310 ; Emoji_Presentation # E1.0 [1] (🌐) глобус с меридианами
1F311 ; Emoji_Presentation # E0.6 [1] (🌑) новолуние
1F312 ; Emoji_Presentation # E1.0 [1] (🌒) растущий полумесяц
1F313..1F315 ; Emoji_Presentation # E0.6 [3] (🌓..🌕) первая четверть луны ..полнолуние
1F316..1F318 ; Emoji_Presentation # E1.0 [3] (🌖..🌘) убывающая висячая луна .. убывающий полумесяц
1F319 ; Emoji_Presentation # E0.6 [1] (🌙) полумесяц
1F31A ; Emoji_Presentation # E1.0 [1] (🌚) лицо молодой луны 
1F31B ; Emoji_Presentation # E0.6 [1] (🌛) лицо луны в первой четверти
1F31C ; Emoji_Presentation # E0.7 [1] (🌜) лунный лик последней четверти
1F31D..1F31E ; Emoji_Presentation # E1.0 [2] (🌝..🌞) лицо полной луны .. солнце с лицом 
1F31F..1F320 ; Emoji_Presentation # E0.6 [2] (🌟..🌠) светящаяся звезда ... падающая звезда
1F32D..1F32F ; Emoji_Presentation # E1.0 [3] (🌭..🌯) хот-дог..буррито
1F330..1F331 ; Emoji_Presentation # E0.6 [2] (🌰..🌱) каштан..саженец
1F332..1F333 ; Emoji_Presentation # E1.0 [2] (🌲..🌳) вечнозеленое дерево..листопадное дерево
1F334..1F335 ; Emoji_Presentation # E0.6 [2] (🌴..🌵) пальма ..кактус
1F337..1F34A ; Emoji_Presentation # E0.6 [20] (🌷..🍊) тюльпан..мандарин
1F34B ; Emoji_Presentation # E1.0 [1] (🍋) лимон
1F34C..1F34F ; Emoji_Presentation # E0.6 [4] (🍌..🍏) банан ..зеленое яблоко
1F350 ; Emoji_Presentation # E1.0 [1] (🍐) груша
1F351..1F37B ; Emoji_Presentation # E0.6 [43] (🍑..🍻) персик .. звон пивных кружек
1F37C ; Emoji_Presentation # E1.0 [1] (🍼) детская бутылочка
1F37E..1F37F ; Emoji_Presentation # E1.0 [2] (🍾..🍿) бутылка с хлопающей пробкой ..попкорн
1F380..1F393 ; Emoji_Presentation # E0.6 [20] (🎀..🎓) лента ..выпускной колпачок
1F3A0..1F3C4 ; Emoji_Presentation # E0.6 [37] (🎠..🏄) карусельная лошадь ..серфинг человека
1F3C5 ; Emoji_Presentation # E1.0 [1] (🏅) спортивная медаль
1F3C6 ; Emoji_Presentation # E0.6 [1] (🏆) трофей
1F3C7 ; Emoji_Presentation # E1.0 [1] (🏇) скачки
1F3C8 ; Emoji_Presentation # E0.6 [1] (🏈) американский футбол
1F3C9 ; Emoji_Presentation # E1.0 [1] (🏉) регби-футбол
1F3CA ; Emoji_Presentation # E0.6 [1] (🏊) плавание человека
1F3CF..1F3D3 ; Emoji_Presentation # E1.0 [5] (🏏..🏓) игра в крикет ..пинг-понг
1F3E0..1F3E3 ; Emoji_Presentation # E0.6 [4] (🏠..🏣) дом..Почтовое отделение Японии
1F3E4 ; Emoji_Presentation # E1.0 [1] (🏤) почтовое отделение
1F3E5..1F3F0 ; Emoji_Presentation # E0.6 [12] (🏥..🏰) больница.. замок
1F3F4 ; Emoji_Presentation # E1.0 [1] (🏴) черный флаг
1F3F8..1F407 ; Emoji_Presentation # E1.0 [16] (🏸..🐇) бадминтон ..кролик
1F408 ; Emoji_Presentation # E0.7 [1] (🐈) кот
1F409..1F40B ; Emoji_Presentation # E1.0 [3] (🐉..🐋) дракон..кит
1F40C..1F40E ; Emoji_Presentation # E0.6 [3] (🐌..🐎) улитка.. лошадь
1F40F..1F410 ; Emoji_Presentation # E1.0 [2] (🐏..🐐) баран ..козел
1F411..1F412 ; Emoji_Presentation # E0.6 [2] (🐑..🐒) овца..обезьяна
1F413 ; Emoji_Presentation # E1.0 [1] (🐓) петух
1F414 ; Emoji_Presentation # E0.6 [1] (🐔) курица
1F415 ; Emoji_Presentation # E0.7 [1] (🐕) собака
1F416 ; Emoji_Presentation # E1.0 [1] (🐖) свинья
1F417..1F429 ; Emoji_Presentation # E0.6 [19] (🐗..🐩) кабан ..пудель
1F42A ; Emoji_Presentation # E1.0 [1] (🐪) верблюд
1F42B..1F43E ; Emoji_Presentation # E0.6 [20] (🐫..🐾) двугорбый верблюд..отпечатки лап
1F440 ; Emoji_Presentation # E0.6 [1] (👀) глаза
1F442..1F464 ; Emoji_Presentation # E0.6 [35] (👂..👤) ухо ..бюст в силуэте
1F465 ; Emoji_Presentation # E1.0 [1] (👥) силуэтные бюсты
1F466..1F46B ; Emoji_Presentation # E0.6 [6] (👦..👫) мальчик .. женщина и мужчина, держащиеся за руки
1F46C..1F46D ; Emoji_Presentation # E1.0 [2] (👬..👭) мужчины держатся за руки .. женщины держатся за руки
1F46E..1F4AC ; Emoji_Presentation # E0.6 [63] (👮..💬) офицер полиции .. речевой шар
1F4AD ; Emoji_Presentation # E1.0 [1] (💭) мысленный шар
1F4AE..1F4B5 ; Emoji_Presentation # E0.6 [8] (💮..💵) белый цветок .. долларовая банкнота
1F4B6..1F4B7 ; Emoji_Presentation # E1.0 [2] (💶..💷) банкнота евро .. банкнота фунта
1F4B8..1F4EB ; Emoji_Presentation # E0.6 [52] (💸..📫) деньги с крыльями ..закрытый почтовый ящик с поднятым флагом
1F4EC..1F4ED ; Emoji_Presentation # E0.7 [2] (📬..📭) открыть почтовый ящик с поднятым флагом ..открыть почтовый ящик с опущенным флагом
1F4EE ; Emoji_Presentation # E0.6 [1] (📮) почтовый ящик
1F4EF ; Emoji_Presentation # E1.0 [1] (📯) почтовый рожок
1F4F0..1F4F4 ; Emoji_Presentation # E0.6 [5] (📰..📴) газета .. мобильный телефон выключен
1F4F5 ; Emoji_Presentation # E1.0 [1] (📵) мобильных телефонов нет
1F4F6..1F4F7 ; Emoji_Presentation # E0.6 [2] (📶..📷) антенные решетки .. камера
1F4F8 ; Emoji_Presentation # E1.0 [1] (📸) камера со вспышкой
1F4F9..1F4FC ; Emoji_Presentation # E0.6 [4] (📹..📼) видеокамера..видеокассета
1F4FF ..1F502 ; Emoji_Presentation # E1.0 [4] (📿..🔂) четки .. повторить одной кнопкой
1F503 ; Emoji_Presentation # E0.6 [1] (🔃) вертикальные стрелки по часовой стрелке
1F504..1F507 ; Emoji_Presentation # E1.0 [4] (🔄..🔇) кнопка со стрелками против часовой стрелки .. приглушенный динамик
1F508 ; Emoji_Presentation # E0.7 [1] (🔈) низкая громкость динамика
1F509 ; Emoji_Presentation # E1.0 [1] (🔉) динамик средней громкости
1F50A..1F514 ; Emoji_Presentation # E0.6 [11] (🔊..🔔) громкость динамика высокая.. звонок
1F515 ; Emoji_Presentation # E1.0 [1] (🔕) колокольчик с косой чертой
1F516..1F52B ; Emoji_Presentation # E0.6 [22] (🔖..🔫) закладка ..водяной пистолет
1F52C..1F52D ; Emoji_Presentation # E1.0 [2] (🔬..🔭) микроскоп..телескоп
1F52E..1F53D ; Emoji_Presentation # E0.6 [16] (🔮..🔽) хрустальный шар .. кнопка вниз
1F54B..1F54E ; Emoji_Presentation # E1.0 [4] (🕋..🕎) кааба..менора
1F550..1F55B ; Emoji_Presentation # E0.6 [12] (🕐..🕛) час дня..двенадцать часов
1F55C..1F567 ; Emoji_Presentation # E0.7 [12] (🕜..🕧) час тридцать..двенадцать тридцать
1F57A ; Emoji_Presentation # E3.0 [1] (🕺) танцующий мужчина
1F595..1F596 ; Emoji_Presentation # E1.0 [2] (🖕..🖖) средний палец .. вулканское приветствие
1F5A4 ; Emoji_Presentation # E3.0 [1] (🖤) черное сердце
1F5FB..1F5FF ; Emoji_Presentation # E0.6 [5] (🗻..🗿) гора Фудзи..моаи
1F600 ; Emoji_Presentation # E1.0 [1] (😀) ухмыляющееся лицо
1F601..1F606 ; Emoji_Presentation # E0.6 [6] (😁..😆) сияющее лицо с улыбающимися глазами .. ухмыляющееся прищуренное лицо
1F607..1F608 ; Emoji_Presentation # E1.0 [2] (😇..😈) улыбающееся лицо с нимбом .. улыбающееся лицо с рожками
1F609..1F60D ; Emoji_Presentation # E0.6 [5] (😉..😍) подмигивающее лицо .. улыбающееся лицо с глазами-сердечками
1F60E ; Emoji_Presentation # E1.0 [1] (😎) улыбающееся лицо в солнцезащитных очках
1F60F ; Emoji_Presentation # E0.6 [1] (😏) ухмыляющееся лицо
1F610 ; Emoji_Presentation # E0.7 [1] (😐) нейтральное лицо
1F611 ; Emoji_Presentation # E1.0 [1] (😑) лицо без выражения 
1F612..1F614 ; Emoji_Presentation # E0.6 [3] (😒..😔) невеселое лицо .. задумчивое лицо 
1F615 ; Emoji_Presentation # E1.0 [1] (😕) растерянное лицо
1F616 ; Emoji_Presentation # E0.6 [1] (😖) растерянное лицо 
1F617 ; Emoji_Presentation # E1.0 [1] (😗) целующееся лицо 
1F618 ; Emoji_Presentation # E0.6 [1] (😘) лицо, посылающее воздушный поцелуй
1F619 ; Emoji_Presentation # E1.0 [1] (😙) целующееся лицо с улыбающимися глазами
1F61A ; Emoji_Presentation # E0.6 [1] (😚) целовать лицо с закрытыми глазами
1F61B ; Emoji_Presentation # E1.0 [1] (😛) лицо с языком
1F61C..1F61E ; Emoji_Presentation # E0.6 [3] (😜..😞) подмигивающее лицо с высунутым языком .. разочарованное лицо
1F61F ; Emoji_Presentation # E1.0 [1] (😟) обеспокоенное лицо
1F620..1F625 ; Emoji_Presentation # E0.6 [6] (😠..😥) сердитое лицо .. грустное, но с облегчением на лице
1F626..1F627 ; Emoji_Presentation # E1.0 [2] (😦..😧) хмурое лицо с открытым ртом .. страдальческое лицо
1F628..1F62B ; Emoji_Presentation # E0.6 [4] (😨..😫) испуганное лицо ..усталое лицо
1F62C ; Emoji_Presentation # E1.0 [1] (😬) гримасничающее лицо
1F62D ; Emoji_Presentation # E0.6 [1] (😭) громко плачущее лицо
1F62E..1F62F ; Emoji_Presentation # E1.0 [2] (😮..😯) лицо с открытым ртом .. притихшее лицо
1F630..1F633 ; Emoji_Presentation # E0.6 [4] (😰..😳) взволнованное лицо в поту .. раскрасневшееся лицо
1F634 ; Emoji_Presentation # E1.0 [1] (😴) спящее лицо
1F635 ; Emoji_Presentation # E0.6 [1] (😵) лицо с перечеркнутыми глазами
1F636 ; Emoji_Presentation # E1.0 [1] (😶) лицо без рта
1F637..1F640 ; Emoji_Presentation # E0.6 [10] (😷..🙀) лицо в медицинской маске .. усталый кот
1F641..1F644 ; Emoji_Presentation # E1.0 [4] (🙁..🙄) слегка нахмуренное лицо .. лицо с закатившимися глазами
1F645..1F64F ; Emoji_Presentation # E0.6 [11] (🙅..🙏) человек, жестикулирующий НЕТ..сложенные руки
1F680 ; Emoji_Presentation # E0.6 [1] (🚀) ракета
1F681..1F682 ; Emoji_Presentation # E1.0 [2] (🚁..🚂) вертолет..локомотив
1F683..1F685 ; Emoji_Presentation # E0.6 [3] (🚃..🚅) железнодорожный вагон .. скоростной поезд
1F686 ; Emoji_Presentation # E1.0 [1] (🚆) поезд
1F687 ; Emoji_Presentation # E0.6 [1] (🚇) метро
1F688 ; Emoji_Presentation # E1.0 [1] (🚈) станция скоростного трамвая
1F689 ; Emoji_Presentation # E0.6 [1] (🚉) станция
1F68A..1F68B ; Emoji_Presentation # E1.0 [2] (🚊..🚋) трамвай .. трамвайный вагон
1F68C ; Emoji_Presentation # E0.6 [1] (🚌) автобус
1F68D ; Emoji_Presentation # E0.7 [1] (🚍) встречный автобус
1F68E ; Emoji_Presentation # E1.0 [1] (🚎) троллейбус
1F68F ; Emoji_Presentation # E0.6 [1] (🚏) автобусная остановка
1F690 ; Emoji_Presentation # E1.0 [1] (🚐) микроавтобус
1F691..1F693 ; Emoji_Presentation # E0.6 [3] (🚑..🚓) скорая помощь ..полицейская машина
1F694 ; Emoji_Presentation # E0.7 [1] (🚔) встречная полицейская машина
1F695 ; Emoji_Presentation # E0.6 [1] (🚕) такси
1F696 ; Emoji_Presentation # E1.0 [1] (🚖) встречное такси
1F697 ; Emoji_Presentation # E0.6 [1] (🚗) автомобиль
1F698 ; Emoji_Presentation # E0.7 [1] (🚘) встречный автомобиль
1F699..1F69A ; Emoji_Presentation # E0.6 [2] (🚙..🚚) спортивный внедорожник..грузовик для доставки
1F69B..1F6A1 ; Emoji_Presentation # E1.0 [7] (🚛..🚡) сочлененный грузовик..подвесной трамвай
1F6A2 ; Emoji_Presentation # E0.6 [1] (🚢) корабль
1F6A3 ; Emoji_Presentation # E1.0 [1] (🚣) гребная лодка для человека
1F6A4..1F6A5 ; Emoji_Presentation # E0.6 [2] (🚤..🚥) скоростной катер .. горизонтальный светофор
1F6A6 ; Emoji_Presentation # E1.0 [1] (🚦) вертикальный светофор
1F6A7..1F6AD ; Emoji_Presentation # E0.6 [7] (🚧..🚭) construction..no курение
1F6AE..1F6B1 ; Emoji_Presentation # E1.0 [4] (🚮..🚱) знак "мусор в мусорном ведре" .. непитьевая вода
1F6B2 ; Emoji_Presentation # E0.6 [1] (🚲) велосипед
1F6B3..1F6B5 ; Emoji_Presentation # E1.0 [3] (🚳..🚵) велосипедов нет ..человек катается на горных велосипедах
1F6B6 ; Emoji_Presentation # E0.6 [1] (🚶) идущий человек
1F6B7..1F6B8 ; Emoji_Presentation # E1.0 [2] (🚷..🚸) пешеходов нет .. дети переходят дорогу
1F6B9..1F6BE ; Emoji_Presentation # E0.6 [6] (🚹..🚾) мужской туалет..ватерклозет
1F6BF ; Emoji_Presentation # E1.0 [1] (🚿) душ
1F6C0 ; Emoji_Presentation # E0.6 [1] (🛀) человек, принимающий ванну
1F6C1..1F6C5 ; Emoji_Presentation # E1.0 [5] (🛁..🛅) ванна .. оставленный багаж
